date,open,high,low,close,volume,trade_count,taker_buy_base_volume,taker_buy_quote_volume,is_trading_day
2018-02-11 08:00:00,8378.1,8394.55,8164.03,8214.98,1039.425407,11703,414.813557,3416191.05683834,1
2018-02-11 08:30:00,8210.01,8316.31,8174.04,8224.95,813.03936,10647,420.041442,3464318.55225815,1
2018-02-11 09:00:00,8224.94,8269.65,8160.0,8250.42,635.865933,9392,312.88579,2566167.49656105,1
2018-02-11 09:30:00,8259.93,8259.94,8185.07,8236.81,502.026969,7405,234.813347,1930230.49566742,1
2018-02-11 10:00:00,8227.42,8236.74,8021.0,8047.95,1408.671631,13121,580.265622,4694556.1440649,1
2018-02-11 10:30:00,8047.9,8101.21,7956.0,7969.05,1696.06442,15871,824.406926,6603336.68210771,1
2018-02-11 11:00:00,7976.73,7988.21,7960.13,7976.74,7.72176,45,4.55067,36250.92153339,1
2018-02-11 11:30:00,7976.74,8098.0,7910.01,7925.49,1055.865537,10906,512.684237,4090582.64977624,1
2018-02-11 12:00:00,7925.49,8045.0,7911.54,7969.97,916.165892,10839,518.707774,4127169.95901686,1
2018-02-11 12:30:00,7969.61,8169.13,7960.0,8100.0,1367.749744,14377,738.305279,5953241.65918507,1
2018-02-11 13:00:00,8100.0,8105.0,7955.0,7979.12,910.053643,11629,489.205241,3919938.34520724,1
2018-02-11 13:30:00,7989.78,8027.0,7916.97,8011.35,1236.158061,11331,736.211637,5866598.70096493,1
2018-02-11 14:00:00,8011.36,8020.0,7950.15,7989.9,551.100861,8487,288.144945,2301416.87907909,1
2018-02-11 14:30:00,7989.96,7989.96,7800.0,7850.72,1706.802469,14674,944.821923,7431465.3924046,1
2018-02-11 15:00:00,7851.2,7862.97,7726.53,7847.96,1637.631819,15122,802.027891,6263110.78312708,1
2018-02-11 15:30:00,7847.96,7925.0,7789.69,7909.98,1116.883344,12274,655.629192,5149755.16475509,1
2018-02-11 16:00:00,7909.98,7918.99,7819.55,7868.0,714.668862,8856,377.915439,2968392.15652098,1
2018-02-11 16:30:00,7867.49,8128.0,7853.0,8125.89,1763.697387,15168,1096.862597,8782487.38453675,1
2018-02-11 17:00:00,8126.0,8141.0,8005.0,8040.23,1098.030769,13449,555.168232,4487028.9225109,1
2018-02-11 17:30:00,8040.23,8080.0,7950.0,7988.1,746.854975,10214,359.793679,2882893.37629313,1
2018-02-11 18:00:00,7989.06,8085.0,7950.0,7956.57,541.275287,8087,237.859142,1912356.33286035,1
2018-02-11 18:30:00,7956.57,8190.0,7950.09,8140.0,994.749531,10982,599.992064,4845897.00047697,1
2018-02-11 19:00:00,8139.99,8308.5,8110.0,8271.76,1407.273347,14079,750.460151,6171243.08698533,1
2018-02-11 19:30:00,8271.76,8375.0,8230.0,8281.0,1577.361827,14809,785.456632,6524865.1435261,1
2018-02-11 20:00:00,8280.0,8370.0,8230.0,8249.84,843.352898,10807,433.171284,3601292.42278284,1
2018-02-11 20:30:00,8249.76,8311.0,8180.34,8229.92,1227.074004,13135,785.699893,6480950.79289146,1
2018-02-11 21:00:00,8229.87,8310.0,8191.89,8309.0,768.345138,10650,441.714967,3637123.98232013,1
2018-02-11 21:30:00,8308.97,8438.01,8260.0,8435.0,1217.649565,14086,642.783941,5382216.90048543,1
2018-02-11 22:00:00,8435.0,8446.65,8370.0,8372.09,805.483541,11811,369.784412,3108466.6723517,1
