split,group,tp_threshold,sample_count,hit_count,hit_rate,miss_count,miss_return_mean,close_h2_return_mean,two_sided_count,two_sided_rate
test,p1_exit_after_h1_selected,0.002,4824,4264,0.8839137645107794,560,-0.006009447458940858,0.001356418092133312,,
test,p1_exit_after_h1_selected,0.0025000000000000005,4824,3971,0.8231757877280266,853,-0.005082185902130503,0.001356418092133312,,
test,p1_exit_after_h1_selected,0.003,4824,3650,0.7566334991708126,1174,-0.004323637146164508,0.001356418092133312,,
test,p1_exit_after_h1_selected,0.0034999999999999996,4824,3304,0.6849087893864013,1520,-0.003735102039500731,0.001356418092133312,,
test,p1_exit_after_h1_selected,0.004,4824,2962,0.6140132669983416,1862,-0.003218301718042612,0.001356418092133312,,
test,p1_exit_after_h1_selected,0.0045000000000000005,4824,2614,0.5418739635157546,2210,-0.0026934894592880653,0.001356418092133312,,
test,p1_exit_after_h1_selected,0.005,4824,2319,0.48072139303482586,2505,-0.0023030700686980303,0.001356418092133312,,
test,p1_exit_after_h1_no_selected,-0.002,11148,10264,0.9207032651596699,884,-0.01098086895685432,-0.001719204065769254,,
test,p1_exit_after_h1_no_selected,-0.0015,11148,9969,0.8942411194833154,1179,-0.010069226257509872,-0.001719204065769254,,
test,p1_exit_after_h1_no_selected,-0.001,11148,9544,0.8561176892716182,1604,-0.009151045552418214,-0.001719204065769254,,
test,p1_exit_after_h1_no_selected,-0.0005,11148,8997,0.8070505920344456,2151,-0.008296854952657905,-0.001719204065769254,,
test,p1_exit_after_h1_no_selected,0.0,11148,8349,0.7489235737351991,2799,-0.007596807034657574,-0.001719204065769254,,
test,p1_exit_after_h1_no_selected,0.0005,11148,7611,0.6827233584499461,3537,-0.006842343835152585,-0.001719204065769254,,
test,p1_exit_after_h1_no_selected,0.001,11148,6873,0.6165231431646933,4275,-0.006235965420446172,-0.001719204065769254,,
test,p1_exit_after_h1_no_selected,0.0015,11148,6106,0.5477215644061715,5042,-0.0056884376745260055,-0.001719204065769254,,
test,p1_exit_after_h1_no_selected,0.002,11148,5402,0.4845712235378543,5746,-0.005210875693512447,-0.001719204065769254,,
test,p1_exit_after_h1_no_selected,0.0025000000000000005,11148,4697,0.42133118048080376,6451,-0.004767429147899291,-0.001719204065769254,,
test,p1_exit_after_h1_no_selected,0.003,11148,3998,0.3586293505561536,7150,-0.004334709368883982,-0.001719204065769254,,
test,p1_exit_after_h1_no_selected,0.0034999999999999996,11148,3413,0.3061535701471116,7735,-0.004000565430937752,-0.001719204065769254,,
test,p1_exit_after_h1_no_selected,0.004,11148,2928,0.26264800861141013,8220,-0.0037314839561927403,-0.001719204065769254,,
test,p1_exit_after_h1_no_selected,0.0045000000000000005,11148,2463,0.22093649085037675,8685,-0.0034546712407005917,-0.001719204065769254,,
test,p1_exit_after_h1_no_selected,0.005,11148,2096,0.1880157875852171,9052,-0.0032380878521024704,-0.001719204065769254,,
test,p1_exit_after_h1_no_selected_h2,-0.002,11148,9562,0.8577323286688195,1586,-0.007407061614677928,-0.001719204065769254,,
test,p1_exit_after_h1_no_selected_h2,-0.0015,11148,9022,0.8092931467527807,2126,-0.006561549164044173,-0.001719204065769254,,
test,p1_exit_after_h1_no_selected_h2,-0.001,11148,8315,0.7458736993182634,2833,-0.005817100193119125,-0.001719204065769254,,
test,p1_exit_after_h1_no_selected_h2,-0.0005,11148,7452,0.6684607104413348,3696,-0.005152505282640792,-0.001719204065769254,,
test,p1_exit_after_h1_no_selected_h2,0.0,11148,6373,0.5716720487979907,4775,-0.004510561602645686,-0.001719204065769254,,
test,p1_exit_after_h1_no_selected_h2,0.0005,11148,5285,0.4740760674560459,5863,-0.00397247054953106,-0.001719204065769254,,
test,p1_exit_after_h1_no_selected_h2,0.001,11148,4259,0.3820416218155723,6889,-0.003526142979259776,-0.001719204065769254,,
test,p1_exit_after_h1_no_selected_h2,0.0015,11148,3286,0.29476139217796915,7862,-0.0031369028671351953,-0.001719204065769254,,
test,p1_exit_after_h1_no_selected_h2,0.002,11148,2443,0.21914244707570865,8705,-0.002808302149287784,-0.001719204065769254,,
test,p1_exit_after_h1_no_selected_h2,0.0025000000000000005,11148,1727,0.1549156799425906,9421,-0.0025222645178160368,-0.001719204065769254,,
test,p1_exit_after_h1_no_selected_h2,0.003,11148,1212,0.10871905274488698,9936,-0.0023148324226759487,-0.001719204065769254,,
test,p1_exit_after_h1_no_selected_h2,0.0034999999999999996,11148,892,0.08001435235019734,10256,-0.0021841233328553254,-0.001719204065769254,,
test,p1_exit_after_h1_no_selected_h2,0.004,11148,652,0.05848582705418012,10496,-0.0020789414103774503,-0.001719204065769254,,
test,p1_exit_after_h1_no_selected_h2,0.0045000000000000005,11148,468,0.04198062432723358,10680,-0.001997569690162685,-0.001719204065769254,,
test,p1_exit_after_h1_no_selected_h2,0.005,11148,342,0.030678148546824543,10806,-0.0019344058581021297,-0.001719204065769254,,
test,p2_exit_after_h1_no_selected_no_h2,-0.002,10496,8823,0.8406059451219512,1673,-0.009928417494169782,-0.0020789414103774503,,
